"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"115",22,2,3.92,-3.92,7.84,2.07961384472768,-2.07961384472768,4.15922768945536,5.45589661285276,2.38410338714724,3.07179322570551,-2.38410338714724,-5.45589661285276,3.07179322570551
"116",23,2,3.92,-3.92,7.84,2.07387306790403,-2.07387306790403,4.14774613580805,5.41798987082736,2.42201012917264,2.99597974165473,-2.42201012917264,-5.41798987082736,2.99597974165473
"117",24,2,3.92,-3.92,7.84,2.06865761041905,-2.06865761041905,4.1373152208381,5.38276182428047,2.45723817571953,2.92552364856094,-2.45723817571953,-5.38276182428047,2.92552364856094
"118",25,2,3.92,-3.92,7.84,2.06389856162803,-2.06389856162803,4.12779712325605,5.34991086816323,2.49008913183677,2.85982173632645,-2.49008913183677,-5.34991086816323,2.85982173632645
"119",26,2,3.92,-3.92,7.84,2.0595385527533,-2.0595385527533,4.1190771055066,5.31918092253077,2.52081907746923,2.79836184506155,-2.52081907746923,-5.31918092253077,2.79836184506155
"120",27,2,3.92,-3.92,7.84,2.05552943864287,-2.05552943864287,4.11105887728575,5.29035295909525,2.54964704090475,2.7407059181905,-2.54964704090475,-5.29035295909525,2.7407059181905
"121",28,2,3.92,-3.92,7.84,2.05183051648029,-2.05183051648029,4.10366103296057,5.26323837928446,2.57676162071554,2.68647675856893,-2.57676162071554,-5.26323837928446,2.68647675856893
"122",29,2,3.92,-3.92,7.84,2.04840714179524,-2.04840714179524,4.09681428359049,5.23767378390196,2.60232621609803,2.63534756780393,-2.60232621609803,-5.23767378390196,2.63534756780393
"123",30,2,3.92,-3.92,7.84,2.0452296421327,-2.0452296421327,4.09045928426541,5.21351680144608,2.62648319855392,2.58703360289217,-2.62648319855392,-5.21351680144608,2.58703360289217
"124",31,2,3.92,-3.92,7.84,2.04227245630124,-2.04227245630124,4.08454491260248,5.1906427307977,2.6493572692023,2.5412854615954,-2.6493572692023,-5.1906427307977,2.5412854615954
"125",32,2,3.92,-3.92,7.84,2.03951344639641,-2.03951344639641,4.07902689279282,5.16894181680409,2.67105818319591,2.49788363360819,-2.67105818319591,-5.16894181680409,2.49788363360819
"126",33,2,3.92,-3.92,7.84,2.0369333434601,-2.0369333434601,4.0738666869202,5.14831702240387,2.69168297759613,2.45663404480774,-2.69168297759613,-5.14831702240387,2.45663404480774
"127",34,2,3.92,-3.92,7.84,2.03451529744934,-2.03451529744934,4.06903059489868,5.12868219375075,2.71131780624925,2.4173643875015,-2.71131780624925,-5.12868219375075,2.4173643875015
"128",35,2,3.92,-3.92,7.84,2.03224450931772,-2.03224450931772,4.06448901863544,5.10996053893545,2.73003946106455,2.3799210778709,-2.73003946106455,-5.10996053893545,2.3799210778709
"129",36,2,3.92,-3.92,7.84,2.03010792825034,-2.03010792825034,4.06021585650068,5.09208335885933,2.74791664114067,2.34416671771866,-2.74791664114067,-5.09208335885933,2.34416671771866
"130",37,2,3.92,-3.92,7.84,2.02809400098045,-2.02809400098045,4.0561880019609,5.07498898230096,2.76501101769904,2.30997796460193,-2.76501101769904,-5.07498898230096,2.30997796460193
"131",38,2,3.92,-3.92,7.84,2.02619246302911,-2.02619246302911,4.05238492605822,5.0586218674441,2.7813781325559,2.2772437348882,-2.7813781325559,-5.0586218674441,2.2772437348882
"132",39,2,3.92,-3.92,7.84,2.02439416391197,-2.02439416391197,4.04878832782394,5.04293183995918,2.79706816004082,2.24586367991836,-2.79706816004082,-5.04293183995918,2.24586367991836
"133",40,2,3.92,-3.92,7.84,2.02269092003676,-2.02269092003676,4.04538184007352,5.02787344376501,2.81212655623499,2.21574688753002,-2.81212655623499,-5.02787344376501,2.21574688753002
"134",41,2,3.92,-3.92,7.84,2.02107539030627,-2.02107539030627,4.04215078061255,5.01340538528768,2.82659461471232,2.18681077057535,-2.82659461471232,-5.01340538528768,2.18681077057535
"135",42,2,3.92,-3.92,7.84,2.01954097044138,-2.01954097044138,4.03908194088275,4.99949005570637,2.84050994429363,2.15898011141274,-2.84050994429363,-4.99949005570637,2.15898011141274
"136",43,2,3.92,-3.92,7.84,2.01808170281844,-2.01808170281844,4.03616340563689,4.98609311857139,2.85390688142861,2.13218623714279,-2.85390688142861,-4.98609311857139,2.13218623714279
"137",44,2,3.92,-3.92,7.84,2.01669219922782,-2.01669219922782,4.03338439845565,4.97318315247716,2.86681684752284,2.10636630495432,-2.86681684752284,-4.97318315247716,2.10636630495432
"138",45,2,3.92,-3.92,7.84,2.01536757444376,-2.01536757444376,4.03073514888753,4.96073134030762,2.87926865969238,2.08146268061524,-2.87926865969238,-4.96073134030762,2.08146268061524
"139",46,2,3.92,-3.92,7.84,2.01410338888085,-2.01410338888085,4.02820677776169,4.94871119804489,2.89128880195511,2.05742239608978,-2.89128880195511,-4.94871119804489,2.05742239608978
"140",47,2,3.92,-3.92,7.84,2.01289559891943,-2.01289559891943,4.02579119783886,4.9370983373218,2.9029016626782,2.03419667464361,-2.9029016626782,-4.9370983373218,2.03419667464361
"141",48,2,3.92,-3.92,7.84,2.01174051372977,-2.01174051372977,4.02348102745953,4.92587025686488,2.91412974313512,2.01174051372977,-2.91412974313512,-4.92587025686488,2.01174051372977
"142",49,2,3.92,-3.92,7.84,2.01063475762423,-2.01063475762423,4.02126951524846,4.9150061587626,2.9249938412374,1.9900123175252,-2.9249938412374,-4.9150061587626,1.9900123175252
"143",50,2,3.92,-3.92,7.84,2.00957523712924,-2.00957523712924,4.01915047425848,4.90448678613983,2.93551321386017,1.96897357227966,-2.93551321386017,-4.90448678613983,1.96897357227966
"144",51,2,3.92,-3.92,7.84,2.00855911210076,-2.00855911210076,4.01711822420152,4.89429427935156,2.94570572064844,1.94858855870312,-2.94570572064844,-4.89429427935156,1.94858855870312
"145",52,2,3.92,-3.92,7.84,2.00758377031584,-2.00758377031584,4.01516754063167,4.88441204824919,2.95558795175081,1.92882409649838,-2.95558795175081,-4.88441204824919,1.92882409649838
"146",53,2,3.92,-3.92,7.84,2.00664680506169,-2.00664680506169,4.01329361012338,4.87482465843825,2.96517534156175,1.9096493168765,-2.96517534156175,-4.87482465843825,1.9096493168765
"147",54,2,3.92,-3.92,7.84,2.00574599531787,-2.00574599531787,4.01149199063574,4.86551772975135,2.97448227024865,1.8910354595027,-2.97448227024865,-4.86551772975135,1.8910354595027
"148",55,2,3.92,-3.92,7.84,2.00487928818806,-2.00487928818806,4.00975857637611,4.85647784541542,2.98352215458458,1.87295569083085,-2.98352215458458,-4.85647784541542,1.87295569083085
"149",56,2,3.92,-3.92,7.84,2.00404478328915,-2.00404478328915,4.00808956657829,4.84769247060671,2.99230752939329,1.85538494121342,-2.99230752939329,-4.84769247060671,1.85538494121342
"150",57,2,3.92,-3.92,7.84,2.00324071884787,-2.00324071884787,4.00648143769574,4.83914987926775,3.00085012073225,1.83829975853551,-3.00085012073225,-4.83914987926775,1.83829975853551
"151",58,2,3.92,-3.92,7.84,2.00246545929101,-2.00246545929101,4.00493091858201,4.83083908821371,3.00916091178629,1.82167817642741,-3.00916091178629,-4.83083908821371,1.82167817642741
"152",59,2,3.92,-3.92,7.84,2.00171748414524,-2.00171748414524,4.00343496829047,4.82274979768495,3.01725020231505,1.8054995953699,-3.01725020231505,-4.82274979768495,1.8054995953699
"153",60,2,3.92,-3.92,7.84,2.00099537808827,-2.00099537808827,4.00199075617653,4.81487233761365,3.02512766238635,1.7897446752273,-3.02512766238635,-4.81487233761365,1.7897446752273
"154",10,3,5.88,-5.88,11.76,2.2621571627982,-2.2621571627982,4.52431432559641,9.59710352005939,2.16289647994061,7.43420704011878,-2.16289647994061,-9.59710352005939,7.43420704011878
"155",11,3,5.88,-5.88,11.76,2.22813885198627,-2.22813885198627,4.45627770397255,9.37082269647831,2.38917730352169,6.98164539295662,-2.38917730352169,-9.37082269647831,6.98164539295662
"156",12,3,5.88,-5.88,11.76,2.20098516009164,-2.20098516009164,4.40197032018328,9.18147774013746,2.57852225986254,6.60295548027492,-2.57852225986254,-9.18147774013746,6.60295548027492
"157",13,3,5.88,-5.88,11.76,2.17881282966723,-2.17881282966723,4.35762565933446,9.02000348311306,2.73999651688694,6.28000696622612,-2.73999651688694,-9.02000348311306,6.28000696622612
"158",14,3,5.88,-5.88,11.76,2.16036865646279,-2.16036865646279,4.32073731292558,8.88016908760781,2.87983091239219,6.00033817521562,-2.87983091239219,-8.88016908760781,6.00033817521562
"159",15,3,5.88,-5.88,11.76,2.1447866879178,-2.1447866879178,4.28957337583561,8.7575332988525,3.0024667011475,5.755066597705,-3.0024667011475,-8.7575332988525,5.755066597705
"160",16,3,5.88,-5.88,11.76,2.13144954555978,-2.13144954555978,4.26289909111955,8.64883418000934,3.11116581999066,5.53766836001869,-3.11116581999066,-8.64883418000934,5.53766836001869
"161",17,3,5.88,-5.88,11.76,2.11990529922125,-2.11990529922125,4.23981059844251,8.55161505347246,3.20838494652754,5.34323010694493,-3.20838494652754,-8.55161505347246,5.34323010694493
"162",18,3,5.88,-5.88,11.76,2.10981557783332,-2.10981557783332,4.21963115566663,8.46398580853344,3.29601419146656,5.16797161706687,-3.29601419146656,-8.46398580853344,5.16797161706687
"163",19,3,5.88,-5.88,11.76,2.10092204024104,-2.10092204024104,4.20184408048208,8.38446529977333,3.37553470022667,5.00893059954665,-3.37553470022667,-8.38446529977333,5.00893059954665
"164",20,3,5.88,-5.88,11.76,2.09302405440831,-2.09302405440831,4.18604810881662,8.31187419178047,3.44812580821953,4.86374838356094,-3.44812580821953,-8.31187419178047,4.86374838356094
"165",21,3,5.88,-5.88,11.76,2.08596344726586,-2.08596344726586,4.17192689453173,8.24526022518706,3.51473977481294,4.73052045037412,-3.51473977481294,-8.24526022518706,4.73052045037412
